origin_value,company name,traded price,book value,price book ratio,PE ratio,Current ratio,Profit Margin,Return on Assets,Return on Equity,5 year average yield,Forward Annual Dividend Yield,Trailing Annual Dividend Yield,52-Week High,52-Week Low,beta,exchange,sector,industry,total_equity_5,total_equity_4,total_equity_3,total_equity_2,total_equity_1,total_liability_5,total_liability_4,total_liability_3,total_liability_2,total_liability_1,total_asset_5,total_asset_4,total_asset_3,total_asset_2,total_asset_1,balance sheet page,industry page,statistics page,origin_url,origin_pattern,createdAt,updatedAt,pingedAt
S68.SI,Singapore Exchange Ltd (S68.SI),8.46,0.61,13.99,37.27,1.68,44.82,13.95,38.27,,,3.30,8.67,6.80,,SES,Financial,Asset Management,,,,,,"719,000","906,000","896,000","1,077,000",,"1,641,000","1,794,000","1,729,000","1,901,000",,https://sg.finance.yahoo.com/q/bs?s=S68.SI&annual,https://sg.finance.yahoo.com/q/pr?s=S68.SI,https://sg.finance.yahoo.com/q/ks?s=S68.SI,https://sg.finance.yahoo.com/q?s=S68.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
S69.SI,Serial System Ltd (S69.SI),0.19,0.13,1.39,10.33,1.18,1.55,3.42,13.91,,,3.20,0.20,0.13,,SES,Services,Electronics Wholesale,,,,,,"303,000","234,000","163,000","219,000",,"425,000","343,000","267,000","348,000",,https://sg.finance.yahoo.com/q/bs?s=S69.SI&annual,https://sg.finance.yahoo.com/q/pr?s=S69.SI,https://sg.finance.yahoo.com/q/ks?s=S69.SI,https://sg.finance.yahoo.com/q?s=S69.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
5FQ.SI,Select Group Ltd (5FQ.SI),0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sg.finance.yahoo.com/q?s=5FQ.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
528.SI,Second Chance Properties Ltd (528.SI),0.35,0.28,1.25,25.00,0.78,29.72,2.68,5.48,,,4.30,0.48,0.35,,SES,Services,Apparel Stores,,,,,,"98,000","60,000","49,000","57,000",,"362,000","321,000","249,000","241,000",,https://sg.finance.yahoo.com/q/bs?s=528.SI&annual,https://sg.finance.yahoo.com/q/pr?s=528.SI,https://sg.finance.yahoo.com/q/ks?s=528.SI,https://sg.finance.yahoo.com/q?s=528.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
580.SI,Santak Holdings Ltd (580.SI),0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sg.finance.yahoo.com/q?s=580.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
S58.SI,SATS Ltd (S58.SI),3.19,0.93,3.44,19.22,2.27,10.59,5.64,12.59,,,4.10,3.23,2.83,,SES,Services,"Air Services, Other",,,,,,"505,000","503,000","506,000","700,000",,"2,020,000","2,003,000","2,123,000","2,320,000",,https://sg.finance.yahoo.com/q/bs?s=S58.SI&annual,https://sg.finance.yahoo.com/q/pr?s=S58.SI,https://sg.finance.yahoo.com/q/ks?s=S58.SI,https://sg.finance.yahoo.com/q?s=S58.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
S56.SI,Samudera Shipping Line Ltd (S56.SI),0.35,0.47,0.75,12.96,1.78,3.92,2.64,5.86,,,,0.36,0.13,,SES,Services,Shipping,,,,,,"182,000","217,000","246,000","262,000",,"438,000","457,000","486,000","499,000",,https://sg.finance.yahoo.com/q/bs?s=S56.SI&annual,https://sg.finance.yahoo.com/q/pr?s=S56.SI,https://sg.finance.yahoo.com/q/ks?s=S56.SI,https://sg.finance.yahoo.com/q?s=S56.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
5DO.SI,Sakae Holdings Ltd (5DO.SI),0.54,0.28,1.95,48.64,0.68,2.14,3.21,4.04,,,3.70,0.70,0.51,,SES,Services,Restaurants,,,,,,"54,000","53,000","47,000","37,000",,"106,000","104,000","85,000","64,000",,https://sg.finance.yahoo.com/q/bs?s=5DO.SI&annual,https://sg.finance.yahoo.com/q/pr?s=5DO.SI,https://sg.finance.yahoo.com/q/ks?s=5DO.SI,https://sg.finance.yahoo.com/q?s=5DO.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
U96.SI,SEMBCorp Industries Ltd (U96.SI),4.51,2.33,1.94,13.88,1.14,7.35,4.29,15.76,,,3.50,5.54,4.05,,SES,Conglomerates,Conglomerates,,,,,,"9,944,000","7,224,000","7,240,000","6,512,000",,"17,176,000","13,754,000","12,885,000","11,753,000",,https://sg.finance.yahoo.com/q/bs?s=U96.SI&annual,https://sg.finance.yahoo.com/q/pr?s=U96.SI,https://sg.finance.yahoo.com/q/ks?s=U96.SI,https://sg.finance.yahoo.com/q?s=U96.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
5PL.SI,SBI Offshore Ltd. (5PL.SI),0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sg.finance.yahoo.com/q?s=5PL.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
